id,title,ingredients,ingredients_normalized
532,Fresh Apple Cake #2,"['1 c. cooking oil', '2 eggs', '1 tsp. salt', '2 tsp. baking powder', '1 c. chopped nuts', '3 c. raw chopped apples (2 to 3)', '1 3/4 c. sugar', '2 1/2 c. flour', '1 tsp. soda', '1 c. coconut', '1 tsp. vanilla']","""['cooking oil', 'egg', 'salt', 'baking powder', 'nut', 'apple', 'sugar', 'flour', 'baking soda', 'coconut', 'vanilla']"""
533,Pumpkin Pie Dessert,"['2 1/4 c. crushed butter flavored crackers (about 50)', '1/2 c. sugar', '3/4 c. melted margarine', '2 cups cold milk', '2 packages instant vanilla pudding mix', '1 can (15 oz.) solid pack pumpkin', '1 tsp. pumpkin pie spice', '1/2 tsp. ground cinnamon', '1/4 tsp. ground ginger', '1/4 tsp. ground nutmeg', 'whipped topping', 'chopped peanuts']","""['crushed butter flavored cracker', 'sugar', 'melted margarine', 'cold milk', 'instant vanilla pudding mix', 'pumpkin', 'pumpkin pie spice', 'cinnamon', 'ginger', 'nutmeg', 'whipped topping', 'peanut']"""
534,Vermicelli Salad,"['1 (12 oz.) vermicelli noodles, prepared according to pkg. and rinsed with cold water', '1 large jar black olives, drained, pitted and chopped', '5 or 6 green onions, chopped', '1 large jar pimento, drained and diced', '1/2 c. Wesson oil or 1/4 c. olive oil and 1/4 c. Wesson oil', '2 Tbsp. Tex Joy steak seasoning', '4 Tbsp. lemon juice', '1/2 to 1 c. mayonnaise']","""['vermicelli noodle', 'black olive', 'green onion', 'pimento', 'oil', 'steak seasoning', 'lemon juice', 'mayonnaise']"""
535,Two Potato Bake,"['4 c. peeled, thinly sliced sweet potatoes (about 1 1/4 lb. divided)', '4 c. peeled, thinly sliced round red potatoes (about 1 1/4 lb. divided)', '2 Tbsp. minced fresh onion', '3 Tbsp. oleo, melted and divided', '1/2 tsp. salt, divided', '3/4 c. skim milk', '2 Tbsp. minced fresh parsley', '2 Tbsp. grated fresh Parmesan cheese']","""['sweet potato', 'potato', 'onion', 'oleo', 'salt', 'milk', 'parsley', 'parmesan cheese']"""
536,Spinach Dip,"['2 loaves round unsliced sourdough bread', '2 boxes frozen, chopped spinach (thaw and press all excess liquid from spinach)', '1 c. sour cream', '1 c. mayonnaise', '1 c. chopped green onions', '1 pkg. Knorr vegetable soup mix (not instant) or Lipton country vegetable soup mix']","""['sourdough bread', 'spinach', 'sour cream', 'mayonnaise', 'green onion', 'knorr vegetable soup mix', 'lipton country vegetable soup mix']"""
537,Scalloped Potatoes,"['6 c. frozen hash brown potatoes', '2 cans cream of chicken soup', '1 c. sour cream', '2 Tbsp. chopped chives', '2 c. shredded Cheddar cheese']","""['potato', 'cream of chicken soup', 'sour cream', 'chive', 'cheddar cheese']"""
538,Pork Chop Dinner,"['5 or 6 pork chops', 'sliced potatoes (thick)', 'sliced fresh mushrooms, drained (canned mushrooms are okay)']","""['pork chop', 'potato', 'mushroom']"""
539,Chicken Casserole,"['4 c. cooked chicken', '1 c. chopped celery', '1 c. cooked rice', '3/4 c. mayonnaise', '1 can cream of chicken soup', '1 Tbsp. lemon juice', '3 Tbsp. chopped onion', '3 hard-boiled eggs', '1 can water chestnuts (optional)', '3/4 to 1 stick butter', '1/2 c. slivered almonds (optional)', '1 c. crushed corn flakes']","""['chicken', 'celery', 'rice', 'mayonnaise', 'cream of chicken soup', 'lemon juice', 'onion', 'egg', 'water chestnut', 'butter', 'almond', 'crushed cornflake']"""
540,Cabbage And Noodles,"['1 head cabbage', '1 to 2 onions, sliced', '1/2 pkg. egg noodles', '1 stick butter or oleo']","""['cabbage', 'onion', 'noodle', 'butter']"""
541,Scalloped Tomatoes(Heart Smart),"['1 (16 oz.) can tomatoes in juice, chopped', '2 Tbsp. minced green pepper', '2 Tbsp. minced onion', '1 garlic clove, minced', '1 tsp. basil, crushed', '1/8 tsp. pepper', '2 slices stale or day old bread (whole wheat), cut into cubes (1 1/2 c.)', '4 tsp. margarine, melted']","""['tomato', 'green pepper', 'onion', 'garlic', 'basil', 'black pepper', 'bread', 'margarine']"""
542,Hobo Dinner,"['1/4 lb. hamburger', '1 small potato, sliced', '1/2 carrot, sliced', '1 slice onion', 'salt and pepper', '1 patty of butter']","""['hamburger', 'potato', 'carrot', 'onion', 'salt', 'pepper', 'butter']"""
543,Monkey Bread,"['4 regular size cans buttermilk biscuits cut into quarters', '1 c. granulated sugar', '2 tsp. cinnamon in a medium sized plastic bag', '1/2 to 3/4 c. pecan pieces', '10 to 15 maraschino cherries cut in half', '1 1/2 sticks margarine or butter', '1 c. brown sugar', '1 Tbsp. cinnamon']","""['biscuit', 'sugar', 'cinnamon', 'pecan', 'cherry', 'margarine', 'brown sugar']"""
544,Mixed Up Marinade,"['1/4 c. A.1. steak sauce', '1/4 c. red wine vinegar', '2 Tbsp. soy sauce', '2 Tbsp. ketchup', '1 tsp. garlic salt', 'dash of pepper', 'pinch of onion powder']","""['steak sauce', 'red wine vinegar', 'soy sauce', 'ketchup', 'garlic salt', 'black pepper', 'onion powder']"""
545,Banana Nut Muffins,"['1 1/2 c. whole-wheat flour', '1 c. chopped walnuts', '1/2 c. toasted wheat germ', '1/2 c. brown sugar', '1 Tbsp. baking powder', '1 tsp. cinnamon', '1/2 tsp. salt', '1/4 tsp. ground nutmeg', '2 ripe bananas, mashed', '3/4 c. milk', '5 Tbsp. melted butter', '1 egg', 'cinnamon sugar (optional)']","""['whole-wheat flour', 'walnut', 'wheat germ', 'brown sugar', 'baking powder', 'cinnamon', 'salt', 'nutmeg', 'banana', 'milk', 'butter', 'egg', 'cinnamon sugar']"""
546,Fudge Pie,"['2 eggs, well beaten', '1 c. sugar', '1 stick butter', '1/2 c. flour (self-rising)', '2 Tbsp. cocoa', 'pinch of salt']","""['egg', 'sugar', 'butter', 'flour', 'cocoa', 'salt']"""
547,Brazilian Coffee Cookies,"['1/3 c. shortening', '1/2 c. granulated sugar', '1 Tbsp. milk', '2 c. flour', '1/2 c. brown sugar, packed', '1 egg', '2 Tbsp. powdered instant coffee', '1/2 tsp. salt', '1 1/2 tsp. vanilla', '1/4 tsp. baking soda', '1/4 tsp. baking powder']","""['shortening', 'sugar', 'milk', 'flour', 'brown sugar', 'egg', 'powdered coffee', 'salt', 'vanilla', 'baking soda', 'baking powder']"""
548,Quick-Energy Pickups,"['3 or 4 sq. graham crackers', '1 c. powdered sugar', '1 c. crunchy peanut butter', '1 c. semi-sweet chocolate chips', '1/2 c. instant nonfat dry milk or 3 Tbsp. milk']","""['graham cracker', 'powdered sugar', 'peanut butter', 'chocolate chip', 'nonfat dry milk']"""
549,Chicken With Rice(Arroz Con Pollo),"['1 (2 1/2 lb.) ready to cook chicken, cut up', '2 chopped cloves garlic', '2 tsp. salt', '1 chopped green pepper', '1 Tbsp. onion', '1/4 c. olives', '1 Tbsp. achiote coloring or Bijol', '2 c. water or broth', '1 c. peas', '1/2 tsp. oregano', '2 chopped tomatoes', '1 chopped onion', '1 Tbsp. capers', '1 lb. rice', '4 pimentos', '1 can tomato sauce']","""['chicken', 'garlic', 'salt', 'green pepper', 'onion', 'olives', 'achiote coloring', 'water', 'peas', 'oregano', 'tomato', 'capers', 'rice', 'pimento', 'tomato sauce']"""
550,Puff Pancakes,"['2 eggs', '1/2 c. flour', '1/2 c. milk', '2 Tbsp. melted butter', '1 Tbsp. sugar', '1/4 tsp. salt']","""['egg', 'flour', 'milk', 'butter', 'sugar', 'salt']"""
551,Easy Hot Dish,"['1 can Franco-American spaghetti', 'onion and celery, chopped', '1 can Veg-All mixed vegetables', '1 lb. hamburger', '1 can cream of chicken soup (not diluted)']","""['spaghetti', 'onion', 'celery', 'hamburger', 'cream of chicken soup']"""
552,Hot Spiced Tea,"['1 1/3 c. Tang', '1/2 c. sugar', '1/2 c. instant tea', '1 tsp. cinnamon', '1/2 tsp. cloves']","""['tang', 'sugar', 'tea', 'cinnamon', 'cloves']"""
553,Easy Spaghetti,"['1 (8 oz.) pkg. spaghetti', '1 lb. ground beef', '4 Tbsp. olive oil', '1 medium onion, chopped', '1 clove garlic, chopped', '2 Tbsp. chopped parsley', '1/2 tsp. salt', '1/8 tsp. pepper', '2 1/4 c. (No. 2 can) tomato juice', '1 can tomato paste (2/3 c.)', '1 tsp. Worcestershire sauce', '1 tsp. oregano', '1 pkg. spatini', '1 Tbsp. brown sugar']","""['spaghetti', 'ground beef', 'olive oil', 'onion', 'garlic', 'parsley', 'salt', 'black pepper', 'tomato juice', 'tomato paste', 'worcestershire sauce', 'oregano', 'spatini', 'brown sugar']"""
554,Cashew Chicken,"['1 chicken breast', '1 green pepper', '1 c. blanched cashews', '6 pineapple rings', '1 box frozen snow peas', '3/4 c. water', '1 chicken bouillon cube', '1 tsp. cornstarch', 'sherry', 'soy sauce', 'powdered ginger', 'peanut oil']","""['chicken', 'green pepper', 'cashew', 'pineapple', 'snow pea', 'water', 'chicken bouillon', 'cornstarch', 'sherry', 'soy sauce', 'ginger', 'peanut oil']"""
555,Corn Casserole,"['1/2 c. margarine', '1 red or green pepper, chopped', '1 medium onion, chopped', '1 (17 oz.) can corn', '1 (17 oz.) can creamed corn', '3 eggs, slightly beaten', '1 pkg. corn muffin mix', '1 c. shredded Cheddar cheese']","""['margarine', 'pepper', 'onion', 'corn', 'cream corn', 'egg', 'corn muffin mix', 'cheddar cheese']"""
556,Rhubarb Crumble,"['1 c. brown sugar', '3/4 c. quick rolled oats', '1 c. flour', '1/2 c. melted butter', '1 tsp. cinnamon', '4 c. diced rhubarb', '1 c. sugar', '2 tsp. cornstarch', '1 c. water', '1 tsp. vanilla']","""['brown sugar', 'oat', 'flour', 'butter', 'cinnamon', 'rhubarb', 'sugar', 'cornstarch', 'water', 'vanilla']"""
557,Skillet Pineapple Upside-Down Cake,"['1/4 c. butter', '1 c. brown sugar', '8 slices canned pineapple', '8 maraschino cherries', '3 eggs, beaten', '1/2 tsp. salt', '1 1/2 c. cake flour, sifted', '1 tsp. vanilla', '1 1/2 tsp. baking powder', '3/4 c. scalded milk', '2 Tbsp. butter', '1 1/2 c. sugar']","""['butter', 'brown sugar', 'pineapple', 'maraschino cherry', 'egg', 'salt', 'flour', 'vanilla', 'baking powder', 'milk', 'sugar']"""
558,Kim'S Chicken Alfredo Pizza,"['1 c. Ragu light alfredo sauce', '1/2 c. green pepper', 'chopped onion', '2 jalapenos, finely chopped', 'garlic salt', 'pepper (coarse)', 'jerk spice or any spice you prefer', 'dried parsley flakes', '2 chicken breasts, cooked', 'Mozzarella cheese', 'pizza crust', 'cornmeal']","""['ragu light alfredo sauce', 'green pepper', 'onion', 'jalapeno', 'garlic salt', 'pepper', 'jerk spice', 'parsley', 'chicken breast', 'mozzarella cheese', 'pizza crust', 'cornmeal']"""
559,Don Hill'S Lasagna,"['1 1/2 lb. hamburger meat', '1 onion, chopped', '1 bell pepper, chopped', 'garlic to taste', '1 (15 1/4 oz.) jar spaghetti sauce', 'salt and pepper to taste', '1 (8 oz.) pkg. hearty wide egg noodles', '3 c. shredded Mozzarella cheese (12 oz.)', '1/2 c. grated Parmesan cheese', '3 c. shredded Cheddar cheese (12 oz.)']","""['hamburger meat', 'onion', 'bell pepper', 'garlic', 'spaghetti sauce', 'salt', 'pepper', 'noodles', 'mozzarella cheese', 'parmesan cheese', 'cheddar cheese']"""
560,Layered Salad,"['1 head lettuce, chopped', '1 red onion, sliced', '1/2 lb. bacon, fried crisp and crumbled', '1/2 head cauliflower, separated into small pieces', '1/4 c. sugar', '2 c. mayonnaise', '1/2 c. Parmesan cheese']","""['lettuce', 'onion', 'bacon', 'cauliflower', 'sugar', 'mayonnaise', 'parmesan cheese']"""
561,Apple Cream Coffee Cake,"['1/2 c. chopped walnuts', '2 tsp. cinnamon', '1 1/2 c. sugar', '1/2 c. softened butter or margarine', '2 eggs', '1 tsp. vanilla', '2 c. flour', '1 tsp. baking powder', '1 tsp. baking soda', '1/2 tsp. salt', '1 c. sour cream', '1 large apple, sliced thinly']","""['walnut', 'cinnamon', 'sugar', 'butter', 'egg', 'vanilla', 'flour', 'baking powder', 'baking soda', 'salt', 'sour cream', 'apple']"""
562,Apple Crunch,"['3 medium apples, pared and sliced', '1/4 c. packed brown sugar', '1/3 c. melted margarine', '3/4 c. flour', '3/4 c. white sugar', '1/4 tsp. salt', '1/4 tsp. cinnamon', '1 egg']","""['apple', 'brown sugar', 'margarine', 'flour', 'white sugar', 'salt', 'cinnamon', 'egg']"""
563,Ambrosia,"['1 (20 oz.) can pineapple chunks, drained', '1 (11 oz.) can mandarin orange segments, drained', '1 1/2 c. seedless grapes', '1 c. miniature marshmallows', '1 c. flaked coconut', '1/2 c. nuts', '3/4 c. sour cream or vanilla yogurt', '1 Tbsp. sugar']","""['pineapple', 'mandarin orange', 'grape', 'marshmallow', 'coconut', 'nut', 'sour cream', 'yogurt', 'sugar']"""
564,Chocolate Covered Cherries,"['1/3 c. butter', '2 c. marshmallow cream', 'dash of salt', '1 tsp. almond flavoring', '4 c. confectioners sugar, sifted', '36 maraschino cherries', '12 oz. chocolate chips', '1/4 cake paraffin (optional)']","""['butter', 'marshmallow cream', 'salt', 'almond flavoring', 'confectioners sugar', 'maraschino cherry', 'chocolate chip', 'cake paraffin']"""
565,Pork Medallions,"['1 lb. lean, boneless pork tenderloins, thinly sliced', '1 1/2 Tbsp. olive oil', '3 cloves garlic', '1/4 tsp. rosemary', '2 1/2 Tbsp. lemon juice (fresh)', '1/4 tsp. salt', '1/4 tsp. black pepper']","""['pork tenderloin', 'olive oil', 'garlic', 'rosemary', 'lemon juice', 'salt', 'black pepper']"""
566,Coconut Kisses,"['2 egg whites', '2/3 c. sugar', '1/2 tsp. vanilla', '2 c. cornflakes', '1 (3 1/2 oz.) can flaked coconut', '1/2 c. pecans, chopped']","""['egg white', 'sugar', 'vanilla', 'cornflake', 'coconut', 'pecan']"""
567,Lemon Chess Pie,"['2 c. sugar', '4 eggs', '1 Tbsp. flour', '1 Tbsp. cornmeal', '1/2 c. milk', '1/4 c. melted butter', '1/2 c. lemon juice']","""['sugar', 'egg', 'flour', 'cornmeal', 'milk', 'butter', 'lemon juice']"""
568,Oatmeal Chocolate Chip Cookies,"['1 c. butter flavored shortening', '1 1/4 c. brown sugar', '2 eggs', '2 tsp. vanilla', '1 tsp. baking soda', '2 c. (12 oz.) chocolate chips', '1 c. chopped nuts', '1/2 c. sugar', '2 Tbsp. milk', '1 3/4 c. flour', '2 1/2 c. oatmeal']","""['butter', 'brown sugar', 'egg', 'vanilla', 'baking soda', 'chocolate chip', 'nut', 'sugar', 'milk', 'flour', 'oatmeal']"""
569,Dirty Pudding,"['1 small pkg. Oreo cookies', '1 large Cool Whip', '1 (8 oz.) pkg. cream cheese', '1 c. powdered sugar', '2 (3 oz.) pkg. French vanilla instant pudding mix', '3 c. milk']","""['oreo cookie', 'cool whip', 'cream cheese', 'powdered sugar', 'instant pudding mix', 'milk']"""
570,Pickled Bologna,"['1 1/2 qt. white vinegar', '1/2 c. sugar', '1 tsp. salt', '1 tsp. pickling spice']","""['white vinegar', 'sugar', 'salt', 'pickling spice']"""
571,Nutty Oven Fried Chicken,"['1 c. buttermilk biscuit mix', '1/3 c. finely chopped pecans', '2 tsp. paprika', '1/2 tsp. salt', '1/2 tsp. poultry seasoning', '1/2 tsp. dried sage', '1 (2 to 3 lb.) chicken, cut up or 6 breasts', '1/2 c. evaporated milk', '1/3 c. melted margarine']","""['buttermilk biscuit mix', 'pecan', 'paprika', 'salt', 'poultry seasoning', 'sage', 'chicken', 'evaporated milk', 'margarine']"""
572,Wayne'S Cajun Bean Soup,"['3 potatoes', '1 medium onion', '1 c. celery', '3 cans Northern beans', '1 qt. tomatoes', '1 or 2 cans tomato soup', '1 1/2 tsp. chili powder', '1 lb. smoked sausage, sliced thin']","""['potato', 'onion', 'celery', 'bean', 'tomato', 'tomato soup', 'chili powder', 'smoked sausage']"""
573,Grandma'S Cheesecake(New York Style),"['1 1/2 c. graham cracker crumbs', '4 Tbsp. sugar', '1/4 lb. (1 stick) butter', '3 (8 oz.) cream cheese bars', '1 c. sugar', '5 eggs, separated whites', '1 pt. sour cream', '1 1/2 tsp. vanilla']","""['graham cracker', 'sugar', 'butter', 'cream cheese', 'egg', 'sour cream', 'vanilla']"""
574,Preacher Cookies,"['2 c. sugar', '1 stick butter or margarine', '1/2 c. milk', '1/2 c. powdered cocoa', '2 c. quick oats', '1 tsp. vanilla']","""['sugar', 'butter', 'margarine', 'milk', 'powdered cocoa', 'oat', 'vanilla']"""
575,Punch Bowl Cake,"['18.5 oz. box yellow cake mix', '1 large box instant vanilla pudding', '20 oz. can cherry pie filling', '20 oz. can crushed pineapple, drained', '12 oz. container Cool Whip', '6 oz. pkg. frozen coconut', '1/2 c. chopped pecans']","""['yellow cake mix', 'instant vanilla pudding', 'cherry pie filling', 'crushed pineapple', 'cool whip', 'frozen coconut', 'pecan']"""
576,Sour Cream Apple Pie,"['1 unbaked 9-inch pie shell', '3/4 c. granulated sugar', '1/3 c. all-purpose flour', '1/4 tsp. each ground nutmeg and salt', '1 tsp. ground cinnamon', '1/4 c. butter or margarine, softened', '3 to 4 large tart green apples, peeled and sliced to make 5 c.', '1 Tbsp. lemon juice', '1 c. sour cream']","""['pie shell', 'sugar', 'flour', 'nutmeg', 'salt', 'cinnamon', 'butter', 'apple', 'lemon juice', 'sour cream']"""
577,Meat Loaf,"['1 1/2 lb. ground round', '3 to 4 medium slices whole wheat bread', '1 c. milk', '1 egg, beaten', '1/4 c. chopped onion', '1 1/4 tsp. salt', '1/4 tsp. pepper', '1 Tbsp. Worcestershire sauce', '1 Tbsp. catsup']","""['ground round', 'whole wheat bread', 'milk', 'egg', 'onion', 'salt', 'black pepper', 'worcestershire sauce', 'catsup']"""
578,Cumin Rice Dish,"['1 c. uncooked rice', '1/3 c. chopped onion', '1/4 c. bell pepper', '2 cans consomme', '3/4 Tbsp. cumin', '1/2 tsp. salt', '1 Tbsp. Worcestershire sauce', '2 Tbsp. bacon fat']","""['rice', 'onion', 'bell pepper', 'consomme', 'cumin', 'salt', 'worcestershire sauce', 'bacon fat']"""
579,Prune Punch Cake,"['1/2 c. Crisco', '2 eggs', '1 c. prune juice', '1 tsp. soda', '1 tsp. cinnamon', '1 c. sugar', '1 c. cooked prunes', '2 c. flour', '3/4 tsp. salt', '1 1/2 tsp. nutmeg']","""['crisco', 'egg', 'prune juice', 'baking soda', 'cinnamon', 'sugar', 'cooked prune', 'flour', 'salt', 'nutmeg']"""
580,Danish Cake,"['1 c. shortening', '1 3/4 c. sugar', '3 eggs', '3 c. flour, sifted', '1 1/2 tsp. soda', '1 tsp. salt', '1 c. buttermilk', '1 Tbsp. orange juice', '1 c. nuts', '2 c. chopped dates', '1 grated orange rind', '1 tsp. vanilla']","""['shortening', 'sugar', 'egg', 'flour', 'baking soda', 'salt', 'buttermilk', 'orange juice', 'nut', 'date', 'orange rind', 'vanilla']"""
581,Sherried Beef,"['3 lb. chuck cubes', '1/2 envelope onion soup mix', '2 cans cream of celery soup', '3/4 can sherry (dry)']","""['chuck', 'onion soup mix', 'cream of celery soup', 'sherry']"""
582,Hot Fruit Punch,"['1 (32 oz.) jar cranberry juice cocktail', '3 1/2 c. water', '1 (6 oz.) can frozen orange juice', '6 sticks cinnamon', '12 whole allspice']","""['cranberry juice cocktail', 'water', 'orange juice', 'cinnamon', 'allspice']"""
583,French Potato Soup,"['6 to 8 large red potatoes', '1 small onion, finely chopped', '1 stick Parkay margarine', '1 can evaporated milk', 'salt and pepper to taste']","""['potato', 'onion', 'margarine', 'evaporated milk', 'salt', 'pepper']"""
584,Walla-Walla Onion Pie,"['4 sweet onions, thinly sliced', '1 Tbsp. olive oil', '3 Tbsp. butter', '2 eggs', '1 c. half and half', '2 Tbsp. flour', '1 tsp. salt', '1/8 tsp. pepper', 'pinch of nutmeg', '2 oz. Swiss cheese, grated', 'chopped parsley (garnish)']","""['onion', 'olive oil', 'butter', 'egg', 'half and half', 'flour', 'salt', 'black pepper', 'nutmeg', 'cheese', 'parsley']"""
585,Coal Flowers,"['piece of coal', 'clear glass bowl', 'water', 'blueing', 'salt', 'coloring']","""['coal', 'glass', 'water', 'blueing', 'salt', 'coloring']"""
586,Raisin-Walnut Bread,"['1 1/4 c. raisins', '1 1/4 c. water', '1 1/2 tsp. baking soda', '3 Tbsp. oil', '2 eggs', '1 c. sugar', '1 tsp. vanilla', '2 c. flour', '1/2 tsp. salt', '1 c. chopped walnuts']","""['raisin', 'water', 'baking soda', 'oil', 'egg', 'sugar', 'vanilla', 'flour', 'salt', 'walnut']"""
587,Sausage Stars,"['2 c. cooked, crumbled sausage', '1 1/2 c. grated sharp Cheddar cheese', '1 1/2 c. grated Monterey Jack cheese', '1 c. prepared Hidden Valley Ranch original salad dressing mix', '1 (2.25 oz.) can sliced ripe olives', '1/2 c. chopped red peppers', '1 pkg. fresh or frozen won ton wrappers or egg roll wrappers, cut in 4ths', 'vegetable oil']","""['sausage', 'cheddar cheese', 'monterey jack cheese', 'ranch salad dressing mix', 'olive', 'red pepper', 'wonton wrapper', 'vegetable oil']"""
588,Dijon Chicken,"['6 whole chicken breasts, halved', 'pepper', '1 1/2 c. sour cream', '1 (8 oz.) pkg. Italian breadcrumbs', 'parsley', 'salt', 'garlic powder', '1 1/2 c. Dijon mustard']","""['chicken', 'pepper', 'sour cream', 'breadcrumb', 'parsley', 'salt', 'garlic powder', 'dijon mustard']"""
589,Sweet Potato Or Pumpkin Cake,"['5 eggs', '1 3/4 c. brown sugar', '3/4 c. butter', '1 tsp. vanilla', '2 baked sweet potatoes or can pumpkin', '3 c. unbleached flour', '1 1/2 tsp. baking powder', '1 tsp. soda', '1 tsp. cinnamon', '1/2 tsp. nutmeg', '1 1/2 tsp. ginger', '1 c. raisins', '1 can crushed pineapple with juice', '1 c. pecans']","""['egg', 'brown sugar', 'butter', 'vanilla', 'sweet potato', 'pumpkin', 'flour', 'baking powder', 'baking soda', 'cinnamon', 'nutmeg', 'ginger', 'raisin', 'pineapple', 'pecan']"""
590,Bouillabaisse,"['1 c. minced onions', '1/2 c. minced leeks', '1/2 c. olive oil', '4 cloves mashed garlic', '1 1/2 c. drained canned tomatoes or 1/4 tomato paste', '2 1/2 qt. water', '6 parsley sprigs', '1/2 tsp. thyme', '2 big pinches saffron', '4 lb. fish heads or 1 qt. clam juice and reduce water to 1 1/2 qt.', '6 to 8 lb. assorted fish and shellfish (scallops, prawns, clams and mussels)', '3 to 4 lb. firm white fish']","""['onion', 'leek', 'olive oil', 'garlic', 'tomato', 'water', 'parsley', 'thyme', 'saffron', 'fish head', 'clam juice', 'fish', 'white fish']"""
591,Earthquake Cake,"['1 German chocolate cake mix, mixed according to directions on box', '1 c. coconut', '1 c. chopped pecans', '8 oz. Philadelphia cream cheese', '1 stick oleo', '1 lb. confectioners sugar']","""['german chocolate cake mix', 'coconut', 'pecan', 'cream cheese', 'oleo', 'confectioners sugar']"""
592,Ham Cheese Ball,"['1 (8 oz.) pkg. cream cheese, softened', '1/4 c. mayonnaise', '2 c. ground, chopped ham', '2 Tbsp. chopped parsley', '4 green onions, chopped', '1/4 tsp. dried mustard', '1/2 tsp. hot Tabasco', '1 c. chopped pecans']","""['cream cheese', 'mayonnaise', 'ham', 'parsley', 'onion', 'dried mustard', 'hot pepper', 'pecan']"""
593,Orange Julius,"['couple of oranges', '2 Tbsp. honey']","""['orange', 'honey']"""
594,Quick Potato Salad,"['2 lb. quartered red potatoes', '1/2 c. diagonally sliced green onions', '1 small green pepper, coarsely chopped', '1/2 c. salad dressing', '1 Tbsp. coarse ground mustard']","""['potato', 'onion', 'pepper', 'dressing', 'mustard']"""
595,Banana Bread,"['2/3 c. margarine', '1 1/2 c. sugar', '2 tsp. baking powder', '4 Tbsp. milk', '1/2 c. chopped pecans', '2 eggs', '1 1/2 c. flour', '1/4 tsp. salt', '1 c. mashed bananas', '1 tsp. vanilla']","""['margarine', 'sugar', 'baking powder', 'milk', 'pecan', 'egg', 'flour', 'salt', 'banana', 'vanilla']"""
596,Smooth-N-Creamy Frosting,"['1 (4 oz.) pkg. Jell-O instant pudding (any flavor)', '1/4 c. confectioners sugar', '1 c. cold milk', '1 (8 oz.) Cool Whip']","""['jell-o pudding', 'sugar', 'milk', 'cool whip']"""
597,Plattar(Swedish Pancakes),"['1 c. flour', '2 Tbsp. sugar', '1/4 tsp. salt', '3 eggs', '3 c. milk']","""['flour', 'sugar', 'salt', 'egg', 'milk']"""
598,Rhubarb And Orange Marmalade,"['6 c. rhubarb, cut up fine', '6 c. sugar', '2 oranges, ground up fine']","""['rhubarb', 'sugar', 'orange']"""
599,Chinese Chicken Salad,"['1 to 2 whole chicken breasts, cooked, cooled, shredded or sliced thin', '1/4 pkg. saifon', '1 can wide Chinese won ton', '1 head lettuce', '1 to 2 cucumbers, peeled', '2 to 4 stalks celery', '1 bell pepper', '1 to 2 bunches scallions (including green part)', '1 bunch radishes', '6 Tbsp. white sesame seed']","""['chicken', 'saifon', 'chinese won ton', 'lettuce', 'cucumber', 'celery', 'bell pepper', 'scallion', 'radish', 'sesame seed']"""
600,Shirley Temple(Nonalcoholic Mixed Drink),"['1 dash grenadine', '6 oz. ginger ale, or to fill', 'maraschino cherry', 'orange slice']","""['grenadine', 'ginger ale', 'maraschino cherry', 'orange']"""
601,Nannaw'S Jam Cake,"['2 sticks oleo', '2 c. sugar', '1 c. blackberry jam', '1 tsp. allspice', '1 tsp. cinnamon', '1 tsp. nutmeg', '1 tsp. cloves', '6 eggs', '3 c. flour', '1 tsp. baking powder', '1 1/2 tsp. soda', '1 c. buttermilk']","""['oleo', 'sugar', 'blackberry jam', 'allspice', 'cinnamon', 'nutmeg', 'cloves', 'egg', 'flour', 'baking powder', 'baking soda', 'buttermilk']"""
602,Marinated Cucumber And Sweet Onion Salad,"['2 medium sweet onions', '2 cucumbers', '1/4 tsp. salt', '1/2 c. dark vinegar', '1/2 c. water', '1/4 c. sugar', 'pepper to taste']","""['onion', 'cucumber', 'salt', 'vinegar', 'water', 'sugar', 'pepper']"""
603,Irish Stew,"['2 cans of Castleberry Pork BBQ', '2 cans of Castleberry beef BBQ', '1 large can of All White Chicken Meat, drained', '2 cans of creamed corn, do not drain', '2 cans stewed tomatoes']","""['pork bbq', 'beef bbq', 'chicken', 'cream corn', 'stewed tomatoes']"""
604,Flaky Pie Crust,"['1 cup warm milk', '1 cup solid shortening', '2 cups self rising flour']","""['milk', 'shortening', 'flour']"""
605,Frozen Salad,"['40 marshmallows', '1 pt. whipping cream', '2 glasses pimento cheese', '1 c. Miracle Whip', '1 large can crushed pineapple', 'walnuts (optional)']","""['marshmallow', 'whipping cream', 'pimento cheese', 'miracle whip', 'crushed pineapple', 'walnut']"""
606,Doughnuts,"['3 1/4 c. flour', '2 tsp. baking powder', '1/2 tsp. cinnamon', '1/4 tsp. salt', '1/4 tsp. nutmeg', '2 beaten eggs', '2/3 c. sugar', '1 tsp. vanilla', '2/3 c. milk', '1/4 c. margarine']","""['flour', 'baking powder', 'cinnamon', 'salt', 'nutmeg', 'egg', 'sugar', 'vanilla', 'milk', 'margarine']"""
607,Holiday Broccoli,"['2 (10 oz.) pkg. frozen cut broccoli', '1 or 2 chicken bouillon cubes', '2 (10 1/2) cans condensed cream of celery soup', '1/2 c. grated sharp cheese', 'strips of pimento']","""['broccoli', 'chicken bouillon', 'condensed cream of celery soup', 'cheese', 'pimento']"""
608,Crystal'S Cherry Delight,"['1 (8 oz.) cream cheese', '1 (14 oz.) Eagle Brand milk', '1 (14 oz.) cherry pie filling', '1 or 2 packs graham crackers']","""['cream cheese', 'milk', 'cherry pie filling', 'graham cracker']"""
